,arch_lr,batch_size,competitor,conv_value,dataset,epochs,model,model_lr,nn,optimizer,seed,train_val_split,version,warmstart_epoch,res_train_1,res_train_5,res_val_1,res_arch_val_1,res_val_5,res_arch_val_5,comp_value,arch_path,time_avg,arch
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,42,0.67,v3,1,62.158312225341795,93.34968872070313,60.75810089111328,60.202545928955075,92.52893676757813,93.06712951660157,60.202545928955075,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,75.14885949492455,Max0() Sigmoid() GELU(approximate='none') Minimum() LeakyReLU(negative_slope=0.01) Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,42,0.67,v4,0,64.4366439819336,93.65086669921875,61.921295928955075,62.314814758300784,93.24652862548828,93.22916564941406,62.314814758300784,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,70.23626298666001,Tanh() Tanh() Pow2() Add() Max0() BetaMix()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,42,0.67,v4,1,63.94474563598633,93.56405944824219,61.782406616210935,61.50462951660156,93.00347290039062,92.9629638671875,61.50462951660156,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,70.39029091000558,Tanh() Tanh() Tanh() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,0,0.67,v3,1,59.413998413085935,92.79438018798828,57.80671310424805,57.77777786254883,91.92129669189453,92.28009338378907,57.77777786254883,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,77.66397330999375,Max0() Min0() Tanh() Mul() SiLU() Maximum()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,0,0.67,v3,0,64.19937744140626,93.79176483154296,61.58564834594726,61.747685241699216,92.92245483398438,93.26388854980469,61.747685241699216,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,74.3735104060173,Tanh() Tanh() Pow2() Add() GELU(approximate='none') BetaMix()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,0,0.67,v4,0,62.47131576538086,93.4737335205078,60.127314758300784,60.38194351196289,92.75462951660157,92.8009262084961,60.38194351196289,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,72.59453746914863,Tanh() Min0() Max0() Sub() Tanh() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,0,0.67,v4,1,62.261975860595705,93.57286682128907,60.1504623413086,60.729166412353514,92.45370483398438,92.9571762084961,60.729166412353514,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,74.03158972024917,Asinh() Min0() Max0() Sub() Tanh() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,42,0.67,v3,0,63.08448944091797,93.64054870605469,59.78009185791016,60.711805725097655,92.67939758300781,93.1134246826172,60.711805725097655,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,75.89460790276527,Max0() ELU(alpha=1.0) GELU(approximate='none') Maximum() Pow2() BetaMix()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,42,0.67,v3,1,9.923762321472168,49.79242095947266,10.214120292663575,9.785879707336425,50.12731399536133,50.104166412353514,9.785879707336425,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,76.23560426354408,Max0() Pow2() Max0() Left() Sign() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,42,0.67,v4,0,62.063707733154295,93.32200775146484,58.91203689575195,59.560184478759766,92.43634185791015,92.8182876586914,59.560184478759766,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,68.24948158502579,Tanh() Tanh() Max0() Left() Max0() SigMul()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,True,darts,42,0.67,v4,1,64.32568359375,93.91329345703124,60.77546310424805,61.846064758300784,92.87037048339843,93.46064758300781,61.846064758300784,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_True/optimizer_darts/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,71.56687933325767,Tanh() Tanh() Pow2() Add() Max0() BetaMix()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,0,0.67,v3,0,31.78265953063965,80.85849304199219,31.174768447875977,30.85648078918457,81.00115661621093,80.65972137451172,30.85648078918457,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,117.57719280362129,ELU(alpha=1.0) ELU(alpha=1.0) Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,0,0.67,v3,1,31.62338981628418,81.1158935546875,31.157407760620117,31.371527862548827,80.96643524169922,80.45138854980469,31.371527862548827,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,112.78615462779999,ELU(alpha=1.0) ELU(alpha=1.0) Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,0,0.67,v4,0,31.485004043579103,80.64638671875,30.3935188293457,31.186342620849608,80.71180725097656,80.44560241699219,31.186342620849608,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,110.1847903084755,Max0() Max0() Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,0,0.67,v4,1,31.873992919921875,81.21980438232421,31.093750381469725,31.741897964477538,81.00115814208985,80.71759338378907,31.741897964477538,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,109.16833465814591,Max0() Identitiy() Pow2() Add() Pow2() Add()
